rep,sampler,component,chain_nearest_mode_frequency,reference_nearest_mode_probability
0,local_vmf,0,0.0,0.387
0,local_vmf,1,1.0,0.326
0,local_vmf,2,0.0,0.192
0,local_vmf,3,0.0,0.095
0,independence_mixture,0,0.438,0.387
0,independence_mixture,1,0.288,0.326
0,independence_mixture,2,0.196,0.192
0,independence_mixture,3,0.078,0.095
1,local_vmf,0,0.0,0.387
1,local_vmf,1,1.0,0.326
1,local_vmf,2,0.0,0.192
1,local_vmf,3,0.0,0.095
1,independence_mixture,0,0.402,0.387
1,independence_mixture,1,0.338,0.326
1,independence_mixture,2,0.158,0.192
1,independence_mixture,3,0.102,0.095
2,local_vmf,0,0.0,0.387
2,local_vmf,1,0.0,0.326
2,local_vmf,2,0.0,0.192
2,local_vmf,3,1.0,0.095
2,independence_mixture,0,0.35,0.387
2,independence_mixture,1,0.338,0.326
2,independence_mixture,2,0.192,0.192
2,independence_mixture,3,0.12,0.095
3,local_vmf,0,0.0,0.387
3,local_vmf,1,0.0,0.326
3,local_vmf,2,0.0,0.192
3,local_vmf,3,1.0,0.095
3,independence_mixture,0,0.396,0.387
3,independence_mixture,1,0.232,0.326
3,independence_mixture,2,0.25,0.192
3,independence_mixture,3,0.122,0.095
